"IDPIF","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2012390782","132.8","650.17","0","0","6","CANTABRIA","39","CANTABRIA","COMARCA 9","SELAYA","43.204153","-3.764838","2012-12-24","0","930","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","0","0","0","0","20722"
"2012490179","132.5","649.43","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","PORTO","42.219338","-6.860308","2012-02-22","1785","1845","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","2","0","1","0","0"
"2004100724","132.5","649.43","0","0","14","EXTREMADURA","10","CACERES","AMBROZ-JERTE Y TIETAR","MAJADAS","39.962598","-5.798193","2004-08-02","285","1906","0","3","LÍNEAS ELÉCTRICAS","163","23","7","0","127885"
"2004210087","132.5","649.43","0","0","4","ANDALUCIA","21","HUELVA","EL ANDEVALO","GRANADO, EL","37.53827","-7.428933","2004-07-08","323","473","1","4","PROVOCADOS POR CAZADORES PARA FACILITAR LA CAZA","89","10","8","0","28775"
"2005490200","132.5","649.43","0","0","17","CASTILLA Y LEON","49","ZAMORA","PUEBLA DE SANABRIA","ROSINOS DE LA REQUEJADA","42.130566","-6.545441","2005-02-13","330","360","1","4","PROVOCADOS POR PASTORES Y GANADEROS PARA REGENERAR EL PASTO","35","6","0","7096","0"
"2002210092","132.1","648.45","0","3","4","ANDALUCIA","21","HUELVA","EL ANDEVALO","CALAÑAS","37.575249","-6.90638","2002-07-13","500","1125","1","4","PROVOCADOS POR CAZADORES PARA FACILITAR LA CAZA","147","10","9","0","102493"
"2002130061","132","648.2","0","0","11","CASTILLA-MANCHA","13","CIUDAD REAL","CAMPOS DE MONTIEL","ALBALADEJO","38.611979","-2.788842","2002-06-26","391","1201","0","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","23","6","1","0","0"
"2005310698","132","648.2","0","0","13","NAVARRA","31","NAVARRA","ZONA 3","JUSLAPEÑA","42.904281","-1.704102","2005-08-04","550","1270","1","4","SIN DATOS","129","18","8","0","157401"
"2011240142","132","648.2","0","0","17","CASTILLA Y LEON","24","LEON","TRUCHAS","ENCINEDO","42.295978","-6.710899","2011-04-05","720","720","1","4","PROVOCADOS POR CAMPESINOS PARA ELIMINAR MATORRAL Y RESIDUOS AGRÍCOLAS","0","0","0","0","0"
"2002362792","131.5","646.98","0","0","3","GALICIA","36","PONTEVEDRA","O CONDADO-A PARANDATA","CRECENTE","42.220363","-8.219668","2002-09-01","880","1055","1","4","PROVOCADOS POR PIRÓMANOS","62","8","2","112143","124538"
