"idCCAA_INE","idComunidad","comunidad","idProvincia","provincia","idMunicipio","municipio","num_incendios","supquemada"
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37314,"TABERA DE ABAJO",5,180.4800
"09","02","CATALUÑA",17,"GIRONA",17016,"BÀSCARA",5,0.4600
"04",15,"ILLES BALEARS","07","ILLES BALEARS","07053","SANTA EUGÈNIA",5,0.9100
"07",17,"CASTILLA Y LEON",42,"SORIA",42073,"CUEVA DE AGREDA",5,3.2100
"09","02","CATALUÑA","08","BARCELONA","08256","SANTA MARIA DE MARTORELLES",5,0.4600
"07",17,"CASTILLA Y LEON",42,"SORIA",42008,"ALCUBILLA DE LAS PEÑAS",5,14.2900
17,"07","LA RIOJA",26,"LA RIOJA",26163,"VENTOSA",5,0.7100
"07",17,"CASTILLA Y LEON","09","BURGOS","09083","CASTIL DE PEONES",5,0.4400
"07",17,"CASTILLA Y LEON","09","BURGOS","09337","S JUAN DEL MONTE",5,3.7200
10,"09","C. VALENCIANA",46,"VALENCIA",46051,"BENAGUASIL",5,81.2800
"07",17,"CASTILLA Y LEON",34,"PALENCIA",34110,"MUDA",5,4.3300
13,16,"MADRID",28,"MADRID",28138,"SERNA DEL MONTE, LA",5,3.1800
"01","04","ANDALUCIA",14,"CORDOBA",14018,"CARPIO, EL",5,5.2500
"02",10,"ARAGON",44,"TERUEL",44176,"PALOMAR DE ARROYOS",5,7.4700
"02",10,"ARAGON",50,"ZARAGOZA",50280,"VERA DE MONCAYO",5,0.8900
"09","02","CATALUÑA",25,"LLEIDA",25163,"COMA I LA PEDRA, LA",5,4.4300
"01","04","ANDALUCIA",11,"CADIZ",11003,"ALGAR",5,1.9600
15,13,"NAVARRA",31,"NAVARRA",31016,"ANSOÁIN/ANTSOAIN",5,0.6800
11,14,"EXTREMADURA",10,"CACERES",10118,"MATA DE ALCÁNTARA",5,11.2800
13,16,"MADRID",28,"MADRID",28118,"PUEBLA DE LA SIERRA",5,2.5900
"09","02","CATALUÑA","08","BARCELONA","08222","SANT LLORENÇ D' HORTONS",5,2.6500
"07",17,"CASTILLA Y LEON",24,"LEON",24156,"STA MARIA DEL MONTE DE CEA",5,8.5500
"01","04","ANDALUCIA",21,"HUELVA",21066,"SAN SILVESTRE DE GUZMÁN",5,147.0100
"08",11,"CASTILLA-MANCHA",45,"TOLEDO",45193,"VILLANUEVA DE BOGAS",5,328.8500
"08",11,"CASTILLA-MANCHA",19,"GUADALAJARA",19298,"VALDEARENAS",5,85.7200
16,"01","EUSKADI","01","ALAVA","01049","AÑANA",5,4.1700
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37340,"VALSALABROSO",5,8.6400
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16205,"TEJADILLOS",5,0.5500
"02",10,"ARAGON",22,"HUESCA",22012,"ALBERO BAJO",5,4.2800
"09","02","CATALUÑA",25,"LLEIDA",25076,"COGUL, EL",5,5.8700
"01","04","ANDALUCIA",11,"CADIZ",11901,"BENALUP-CASAS VIEJAS",5,5.9700
"07",17,"CASTILLA Y LEON",34,"PALENCIA",34222,"VILLAMERIEL",5,20.6900
"09","02","CATALUÑA",25,"LLEIDA",25023,"ALPICAT",5,10.4100
"08",11,"CASTILLA-MANCHA",45,"TOLEDO",45191,"VILLAMUELAS",5,105.2500
"09","02","CATALUÑA",25,"LLEIDA",25223,"TORÀ",5,4.7400
"06","06","CANTABRIA",39,"CANTABRIA",39016,"CAMARGO",5,7.8800
"09","02","CATALUÑA",25,"LLEIDA",25211,"SUDANELL",5,5.9100
"02",10,"ARAGON",50,"ZARAGOZA",50178,"MOROS",5,3.5200
"09","02","CATALUÑA",43,"TARRAGONA",43040,"CAPÇANES",5,0.5300
"09","02","CATALUÑA",25,"LLEIDA",25089,"FARRERA",5,4.6600
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37229,"PALENCIA DE NEGRILLA",5,18.1800
16,"01","EUSKADI",48,"VIZCAYA",48082,"SANTURTZI",5,4.6000
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16187,"SALINAS DEL MANZANO",5,51.7500
13,16,"MADRID",28,"MADRID",28071,"HORCAJUELO DE LA SIERRA",5,0.3400
15,13,"NAVARRA",31,"NAVARRA",31166,"MENDAZA",5,0.6500
"01","04","ANDALUCIA","04","ALMERIA","04061","LÚCAR",5,8.5400
"01","04","ANDALUCIA","04","ALMERIA","04048","GALLARDOS, LOS",5,10.2800
15,13,"NAVARRA",31,"NAVARRA",31185,"OCHAGAVÍA",5,4.7800
15,13,"NAVARRA",31,"NAVARRA",31147,"LEGARDA",5,5.8500
16,"01","EUSKADI",20,"GUIPUZCOA",20067,"ERRENTERIA",5,2.4000
16,"01","EUSKADI","01","ALAVA","01033","LAPUEBLA DE LABARCA",5,3.4500
"09","02","CATALUÑA",25,"LLEIDA",25013,"ALFARRÀS",5,19.2000
15,13,"NAVARRA",31,"NAVARRA",31116,"GENEVILLA",5,0.6200
